"","Ticker","Company","Market_capital","Market_share","Sector","Analyst_advice","News_Sentiment","News_Score","Media_Buzz","Media_Score","HedgeFund_Sentiment","HedgeFund_Score","Investor_Sentiment","Investor_Score"
"52","ABT","Abbott Labs",151024330000,"Large","Healthcare","Strong Buy","StrongBuy",1,"Hold",0.42855,"Negative",0.1321,"Hold",0.44
"53","ADBE","Adobe",149836972900,"Large","Technology","Moderate Buy","ModerateBuy",0.8333,"ModerateBuy",0.68235,"Negative",0.2004,"ModerateSell",0.25
"54","MDT","Medtronic",149304928200,"Large","Healthcare","Strong Buy","StrongBuy",1,"StrongSell",0.14545,"Negative",0.1321,"ModerateBuy",0.72
"55","MCD","McDonald's",146461526600,"Large","Services","Moderate Buy","StrongBuy",1,"StrongSell",0.1705,"Negative",0.0636,"StrongBuy",1
"56","NKE","Nike",145940694700,"Large","Consumer Goods","Moderate Buy","StrongBuy",1,"ModerateSell",0.23255,"Negative",0.0998,"StrongBuy",1
"57","ACGBF","Agricultural Bank of China",142373084400,"Large","Financial",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"58","AMGN","Amgen",139466868500,"Large","Healthcare","Moderate Buy","StrongBuy",1,"ModerateSell",0.35,"Negative",0.2295,"StrongBuy",1
"59","NFLX","Netflix",137900059700,"Large","Services","Moderate Buy","Hold",0.5,"ModerateSell",0.2991,"Positive",0.9676,"Hold",0.5
"60","TOT","Total SA",136481056400,"Large","Materials","Strong Buy","Hold",0.5,"ModerateSell",0.3,"Positive",0.9508,"ModerateSell",0.38
"61","NVDA","Nvidia",132644880000,"Large","Consumer Goods","Moderate Buy","StrongBuy",1,"StrongSell",0.17885,"Negative",0.0973,"StrongBuy",1
"62","COST","Costco",131813565200,"Large","Services","Moderate Buy","ModerateBuy",0.75,"ModerateBuy",0.70335,"Positive",0.6254,"StrongBuy",0.94
"63","BHPLF","BHP Group",130209786200,"Large","Materials",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"64","ABBV","AbbVie",129736878600,"Large","Healthcare","Strong Buy","StrongBuy",1,"ModerateSell",0.3544,"Positive",0.9572,"StrongBuy",0.91
"65","BUD","Anheuser-Busch Inbev Sa",129608703000,"Large","Consumer Goods","Hold","Hold",0.5,"ModerateSell",0.2105,"Negative",0.3899,"ModerateBuy",0.6
"66","PM","Philip Morris",129029128400,"Large","Consumer Goods","Moderate Buy","StrongBuy",1,"ModerateSell",0.2713,"Positive",0.8491,"StrongSell",0
"67","UTX","United Technologies",128031957300,"Large","Industrial Goods","Strong Buy","Hold",0.5,"ModerateSell",0.3529,"Positive",0.6711,"ModerateSell",0.3
"68","ACN","Accenture",127749273100,"Large","Technology","Strong Buy","ModerateBuy",0.6666,"ModerateSell",0.3529,"Negative",0.3178,"ModerateBuy",0.66
"69","HON","Honeywell International",127579867100,"Large","Industrial Goods","Strong Buy","Hold",0.5,"ModerateSell",0.2105,"Negative",0.0921,"ModerateBuy",0.72
"70","AZN","AstraZeneca",127201824000,"Large","Healthcare","Strong Buy","Hold",0.5,"Hold",0.40675,"Negative",0.3819,"Hold",0.56
"71","CRM","Salesforce",126871437400,"Large","Technology","Strong Buy","ModerateBuy",0.8571,"ModerateSell",0.30185,"Positive",0.9625,"ModerateSell",0.23
"72","PYPL","Paypal Holdings",126824261900,"Large","Technology","Strong Buy","StrongBuy",1,"ModerateSell",0.35785,"Positive",0.9197,"ModerateBuy",0.64
"73","TMO","Thermo Fisher",125891124400,"Large","Healthcare","Strong Buy","StrongBuy",1,"StrongSell",0.0845,"Negative",0.1865,"ModerateBuy",0.66
"74","BP","BP",125599481600,"Large","Materials","Moderate Buy","StrongBuy",1,"ModerateSell",0.27775,"Positive",0.9144,"ModerateSell",0.38
"75","AVGO","Broadcom",125431336900,"Large","Consumer Goods","Strong Buy","Hold",0.5,"Hold",0.4615,"Positive",0.7969,"ModerateBuy",0.74
"76","CIHHF","China Merchants Bank Co",124333614000,"Large","Financial",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"77","AAIGF","AIA Group",123425613000,"Large","Financial",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"78","UNP","Union Pacific",122172258000,"Large","Services","Moderate Buy","Hold",0.5,"Hold",0.4545,"Negative",0.1987,"Hold",0.48
"79","BACHF","Bank of China",120690060000,"Large","Financial",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"80","AAGIY","AIA Group",120534637200,"Large","Financial","Moderate Buy","StrongBuy",1,"Hold",0.5,"Neutral",0.5,"Hold",0.5
"81","RDS.A","Royal Dutch Shell A",119920115700,"Large","Materials","Moderate Buy","Hold",0.5,NA,NA,"Positive",0.8219,"ModerateBuy",0.64
"82","IBM","International Business Machines",119073894600,"Large","Technology","Moderate Buy","Hold",0.5,"ModerateSell",0.3191,"Negative",0.3455,"Hold",0.56
"83","SNYNF","Sanofi",117843709500,"Large","Healthcare","Strong Buy","Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.54
"84","RY","Royal Bank Of Canada",117274462500,"Large","Financial","Hold","StrongBuy",1,"Hold",0.41665,"Neutral",0.5,"Hold",0.53
"85","SNY","Sanofi-Aventis Sa",116967943200,"Large","Healthcare","Strong Buy","Hold",0.5,"ModerateSell",0.3448,"Positive",0.616,"Hold",0.46
"86","EADSY","Airbus SE",114292132500,"Large","Industrial Goods",NA,"Hold",0.5,"StrongSell",0.1,"Negative",0.0355,"Hold",0.52
"87","NEE","NextEra Energy",114285604300,"Large","Utilities","Strong Buy","StrongBuy",1,"ModerateSell",0.2222,"Negative",0.1572,"Hold",0.57
"88","EADSF","Airbus Group SE",113934694600,"Large","Consumer Goods","Strong Buy","Hold",0.5,"ModerateSell",0.30765,"Neutral",0.5,"Hold",0.44
"89","ASML","ASML Holding",113683132100,"Large","Technology",NA,"Hold",0.5,NA,NA,"Neutral",0.4006,"Hold",0.52
"90","LLY","Eli Lilly & Co",112671372800,"Large","Healthcare","Moderate Buy","StrongBuy",1,"ModerateSell",0.23805,"Negative",0.2841,"ModerateBuy",0.7
"91","HDB","Hdfc Bank",112667197500,"Large","Financial",NA,"Hold",0.5,NA,NA,"Positive",0.9948,"Hold",0.58
"92","GSK","GlaxoSmithKline",112611208800,"Large","Healthcare","Moderate Buy","Hold",0.5,"StrongSell",0.14285,"Positive",0.601,"ModerateSell",0.29
"93","TXN","Texas Instruments",112369302800,"Large","Consumer Goods","Moderate Buy","StrongBuy",1,"Hold",0.5,"Positive",0.7472,"ModerateBuy",0.66
"94","PROSF","Prosus",112297710000,"Large","Technology","Moderate Buy","Hold",0.5,"StrongSell",0,NA,NA,"Hold",0.51
"95","LIN","Linde",110771063000,"Large","Services","Strong Buy","Hold",0.5,"ModerateSell",0.3846,"Negative",0.0803,"Hold",0.44
"96","LMT","Lockheed Martin",110298223100,"Large","Industrial Goods","Moderate Buy","StrongBuy",1,"ModerateSell",0.3333,"Negative",0.1513,"Hold",0.57
"97","NVGI","Noble Vici Group",1.05402e+11,"Large","Healthcare",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"98","DHR","Danaher",104854660400,"Large","Healthcare","Moderate Buy","Hold",0.5,"ModerateSell",0.29625,"Negative",0.0278,"Hold",0.56
"99","TD","Toronto Dominion Bank",104705278000,"Large","Financial","Moderate Buy","StrongBuy",1,"ModerateSell",0.37835,"Negative",0.174,"Hold",0.51
"100","SIEGY","Siemens AG",104399244000,"Large","Industrial Goods","Moderate Buy","Hold",0.5,"StrongSell",0.125,"Neutral",0.5,"Hold",0.5
"101","UPS","United Parcel",102699006200,"Large","Services","Moderate Buy","StrongBuy",1,"ModerateSell",0.3137,"Negative",0.1495,"Hold",0.44
"102","RTNTF","Rio Tinto",102686678600,"Large","Materials","Moderate Buy","Hold",0.5,"StrongSell",0,"Neutral",0.5,NA,NA
"103","QCOM","Qualcomm",101568393000,"Large","Technology","Moderate Buy","StrongBuy",1,"ModerateSell",0.303,"Negative",0.1516,"StrongBuy",1
"104","NVO","Novo Nordisk",101438344000,"Large","Healthcare","Moderate Buy","Hold",0.5,NA,NA,"Positive",0.6875,"ModerateBuy",0.68
"105","CHTR","Charter Communications",100948747800,"Large","Services","Moderate Buy","StrongBuy",1,"ModerateSell",0.3636,"Negative",0.1086,"Hold",0.5
"106","SBUX","Starbucks",100892830000,"Large","Services","Moderate Buy","StrongSell",0,"ModerateSell",0.2083,"Negative",0.1946,"StrongBuy",1
"107","AZSEY","Allianz",99567302800,"Large","Financial",NA,"Hold",0.5,"StrongSell",0.1818,"Neutral",0.5,"Hold",0.52
"108","GE","General Electric",98427108500,"Large","Industrial Goods","Moderate Buy","Hold",0.5,"ModerateSell",0.313,"Positive",0.8964,"ModerateBuy",0.73
"109","AXP","American Express",98290712500,"Large","Financial","Moderate Buy","StrongBuy",1,"Hold",0.41025,"Negative",0.1836,"Hold",0.5
"110","CVS","CVS Health",97923259200,"Large","Services","Strong Buy","Hold",0.5,"ModerateSell",0.29055,"Negative",0.2897,"ModerateBuy",0.7
"111","MMM","3M Company",97626408300,"Large","Industrial Goods","Hold","Hold",0.5,"ModerateSell",0.29265,"Positive",0.8802,"Hold",0.52
"112","CMWAY","Commonwealth Bank of Australia",97066054300,"Large","Financial",NA,"Hold",0.5,"ModerateSell",0.2857,"Neutral",0.5,"Hold",0.5
"113","DEO","Diageo",95795452800,"Large","Consumer Goods","Hold","Hold",0.5,NA,NA,"Negative",0.3852,"Hold",0.41
"114","DGEAF","Diageo",95156250000,"Large","Consumer Goods",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"115","AMT","American Tower",94802448200,"Large","Services","Moderate Buy","StrongBuy",1,"ModerateSell",0.25,"Positive",0.775,"ModerateBuy",0.74
"116","OGZPY","Gazprom PJSC",93865824000,"Large","Materials",NA,"Hold",0.5,"Hold",0.41375,"Neutral",0.5,"Hold",0.51
"117","USB","US Bancorp",93758455800,"Large","Financial","Hold","StrongBuy",1,"ModerateSell",0.24305,"Negative",0.139,"Hold",0.56
"118","MO","Altria Group",92846061000,"Large","Consumer Goods","Moderate Buy","StrongBuy",1,"Hold",0.40935,"Negative",0.0927,"StrongSell",0.19
"119","BMY","Bristol Myers",92771772600,"Large","Healthcare","Moderate Buy","Hold",0.5,"ModerateSell",0.2828,"Positive",0.6434,"StrongBuy",1
"120","NPPXF","Nippon Telegraph and Telephone",92007418200,"Large","Services",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"121","NTTYY","Nippon Telegraph And Telephone",91734776700,"Large","Technology",NA,"Hold",0.5,"Hold",0.5,"Neutral",0.5,"Hold",0.48
"122","NTDMF","NTT DoCoMo",90834177600,"Large","Services",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"123","BTI","British American Tobacco",90560739100,"Large","Consumer Goods",NA,"StrongBuy",1,"Hold",0.4861,"Positive",0.6648,"Hold",0.5
"124","DCMYY","NTT Docomo",90225986400,"Large","Technology",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"125","LOW","Lowe's",90094080000,"Large","Services","Strong Buy","Hold",0.5,"ModerateSell",0.21685,"Neutral",0.4358,"StrongBuy",0.86
"126","CSLLY","CSL",87396822100,"Large","Healthcare",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.51
"127","UN","Unilever",86429679000,"Large","Consumer Goods","Moderate Buy","Hold",0.5,NA,NA,"Positive",0.9165,"Hold",0.48
"128","GILD","Gilead Sciences",85068686000,"Large","Healthcare","Moderate Buy","Hold",0.5,"ModerateSell",0.2857,"Positive",0.6722,"StrongBuy",1
"129","FIS","Fidelity National Info",84906990000,"Large","Technology","Strong Buy","Hold",0.5,"StrongSell",0.08695,"Positive",0.976,"Hold",0.5
"130","PCCYF","PetroChina Company",84738723000,"Large","General",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"131","CMXHF","CSL",83874806400,"Large","Healthcare",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"132","KYCCF","Keyence",82401313300,"Large","Technology",NA,"Hold",0.5,NA,NA,NA,NA,NA,NA
"133","SFTBF","SoftBank Group",80695510400,"Large","Services",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"134","MS","Morgan Stanley",80088328000,"Large","Financial","Strong Buy","ModerateSell",0.25,"ModerateSell",0.3846,"Negative",0.1865,"Hold",0.48
"135","CAT","Caterpillar",79986192300,"Large","Industrial Goods","Moderate Buy","StrongSell",0,"ModerateSell",0.38705,"Positive",0.9384,"ModerateSell",0.36
"136","SFTBY","Softbank",79949864000,"Large","Technology","Hold","StrongBuy",1,"StrongSell",0.06295,"Neutral",0.5,"Hold",0.42
"137","BKNG","Booking Holdings",79694508500,"Large","Services","Moderate Buy","StrongBuy",1,"StrongSell",0.14925,"Negative",0.1159,"StrongBuy",0.9
"138","DTEGY","Deutsche Telekom",79436205000,"Large","Technology","Moderate Sell","StrongBuy",1,"ModerateSell",0.23805,"Neutral",0.5,"Hold",0.58
"139","FISV","Fiserv",79030994800,"Large","Technology","Strong Buy","Hold",0.5,"ModerateSell",0.35895,"Positive",0.9712,"Hold",0.56
"140","SBRCY","Sberbank Rossii OAO",78467992000,"Large","Financial",NA,"Hold",0.5,"StrongSell",0,"Neutral",0.5,"Hold",0.49
"141","GS","Goldman Sachs Group",78377157400,"Large","Financial","Moderate Buy","StrongSell",0,"ModerateSell",0.33875,"Positive",0.6802,"ModerateBuy",0.6
"142","SNE","Sony",78102618000,"Large","Consumer Goods","Moderate Buy","StrongSell",0,"ModerateSell",0.21185,"Negative",0.2411,"ModerateBuy",0.75
"143","HESAY","Hermès International",78032566800,"Large","Consumer Goods","Moderate Sell","Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.48
"144","HESAF","Hermes International",77631250500,"Large","Consumer Goods","Moderate Sell","Hold",0.5,"StrongSell",0,"Neutral",0.5,"Hold",0.5
"145","ENB","Enbridge",76909340000,"Large","Materials","Moderate Buy","StrongBuy",1,"Hold",0.47615,"Positive",0.9256,"ModerateSell",0.32
"146","BLK","Blackrock",76796669400,"Large","Financial","Strong Buy","StrongBuy",1,"Hold",0.41835,"Positive",0.825,"Hold",0.55
"147","SNEJF","Sony",76776336000,"Large","Services",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"148","SYK","Stryker",76699584000,"Large","Healthcare","Moderate Buy","StrongBuy",1,"ModerateSell",0.22725,"Positive",0.9607,"ModerateBuy",0.62
"149","MPNGF","Meituan Dianping",76511877000,"Large","Technology",NA,"Hold",0.5,"Hold",0.5,NA,NA,"Hold",0.55
"150","BHP","BHP Group",75870195500,"Large","Materials","Strong Buy","StrongBuy",1,"ModerateSell",0.24,"Negative",0.2775,"Hold",0.49
"151","MDLZ","Mondelez International",75648142800,"Large","Consumer Goods","Strong Buy","Hold",0.5,"Hold",0.47055,"Negative",0.2268,"ModerateBuy",0.6
"152","CI","Cigna",74655126000,"Large","Services","Strong Buy","StrongBuy",1,"Hold",0.4,"Positive",0.8955,"ModerateBuy",0.69
"153","TJX","TJX Companies",74130517100,"Large","Services","Moderate Buy","StrongBuy",1,"Hold",0.42855,"Neutral",0.5944,"Hold",0.54
"154","ADP","Automatic Data Processing",73896164400,"Large","Technology","Moderate Buy","Hold",0.5,"Hold",0.43475,"Negative",0.0378,"ModerateBuy",0.65
"155","ANTM","Anthem",73193784200,"Large","Services","Strong Buy","Hold",0.5,"ModerateSell",0.25,"Positive",0.8495,"ModerateBuy",0.62
"156","CME","CME Group",72651133700,"Large","Financial","Moderate Buy","Hold",0.5,"ModerateSell",0.2857,"Negative",0.2029,"ModerateBuy",0.66
"157","BAYRY","Bayer",70429385600,"Large","Healthcare",NA,"Hold",0.5,"StrongSell",0.125,"Neutral",0.5,"Hold",0.48
"158","EL","The Estée Lauder Companies",70332842600,"Large","Consumer Goods","Moderate Buy","Hold",0.5,"ModerateSell",0.29625,"Negative",0.0737,"Hold",0.58
"159","BNPQY","BNP Paribas",69956565500,"Large","Financial","Moderate Buy","StrongSell",0,"Hold",0.4,"Neutral",0.5,"Hold",0.54
"160","BDX","Becton Dickinson",69783109000,"Large","Healthcare","Strong Buy","StrongBuy",1,"ModerateSell",0.30765,"Negative",0.079,"Hold",0.5
"161","CILJF","China Life Insurance Co",69531162000,"Large","Financial",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"162","UL","Unilever",69129759600,"Large","Consumer Goods",NA,"Hold",0.5,"StrongSell",0.1333,"Negative",0.1739,"Hold",0.5
"163","MBFJF","Mitsubishi UFJ Financial Group",69062635600,"Large","Financial",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"164","BASFY","BASF SE",68739043200,"Large","Consumer Goods",NA,"Hold",0.5,"StrongSell",0,"Neutral",0.5,"Hold",0.54
"165","RIO","Rio Tinto",68725412800,"Large","Materials","Strong Buy","StrongBuy",1,"ModerateSell",0.3771,"Positive",0.7423,"ModerateBuy",0.6
"166","CB","Chubb",68651039000,"Large","Financial","Moderate Buy","StrongBuy",1,"ModerateSell",0.31575,"Negative",0.2437,"Hold",0.5
"167","MUFG","Mitsubishi UFJ",68619006000,"Large","Financial",NA,"Hold",0.5,NA,NA,"Negative",0.3556,"Hold",0.46
"168","ISRG","Intuitive Surgical",68523824600,"Large","Healthcare","Moderate Buy","StrongBuy",1,"Hold",0.49015,"Positive",0.9179,"Hold",0.58
"169","BNS","Bank Of Nova Scotia",68491654000,"Large","Financial","Moderate Buy","StrongBuy",1,"Hold",0.4279,"Neutral",0.5,"Hold",0.42
"170","D","Dominion Resources",68407259200,"Large","Utilities","Moderate Buy","Hold",0.5,"ModerateSell",0.26085,"Negative",0.1246,"ModerateSell",0.38
"171","KDDIF","KDDI",68325302200,"Large","Services",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"172","OJSCY","Rosneft Oil Co PJSC",68267245500,"Large","Utilities",NA,"Hold",0.5,NA,NA,NA,NA,"Hold",0.5
"173","SNPMF","China Petroleum & Chemical",67799760000,"Large","General",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"174","ESLOY","EssilorLuxottica SA",67646229800,"Large","Healthcare","Moderate Buy","Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.51
"175","INTU","Intuit",67389067000,"Large","Technology","Strong Buy","Hold",0.5,"ModerateSell",0.2857,"Negative",0.0694,"ModerateBuy",0.63
"176","TMUS","T Mobile US",67205416200,"Large","Technology","Strong Buy","StrongBuy",1,"StrongSell",0.1085,"Negative",0.0453,"ModerateBuy",0.61
"177","PNC","PNC Financial",67132025700,"Large","Financial","Hold","StrongBuy",1,"ModerateSell",0.24505,"Negative",0.1269,"Hold",0.58
"178","KDDIY","KDDI",66595106800,"Large",NA,NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"179","ABEV","Ambev SA",66224142000,"Large","Consumer Goods","Moderate Buy","Hold",0.5,"StrongSell",0,"Positive",0.8272,"Hold",0.5
"180","SAFRY","SAFRAN SA",66032211600,"Large","Technology",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"181","COP","Conocophillips",65770363800,"Large","Materials","Strong Buy","StrongBuy",1,"ModerateSell",0.35775,"Positive",0.8007,"Hold",0.48
"182","CNI","Canadian Railway",65156677000,"Large","Services","Moderate Buy","StrongSell",0,"ModerateSell",0.3214,"Neutral",0.5921,"Hold",0.56
"183","SO","Southern Co",65010772700,"Large","Utilities","Hold","Hold",0.5,"ModerateSell",0.34285,"Negative",0.0564,"StrongSell",0.16
